stk_cd,t1_dt,t1_open,entry,tp,sl,result,entry_tm,tp_tm,sl_tm,rows,data_quality
016670,20250723,8220.0,7973.4,8531.538,7654.463999999999,SL_ONLY,20250723090300,,20250723091900,320,OK
016880,20250502,1507.0,1461.79,1564.1153000000002,1403.3183999999999,TP_ONLY,20250502090100,20250502090400,,381,OK
017000,20251208,3815.0,3700.5499999999997,3959.5885,3552.528,SL_ONLY,20251208090000,,20251208090000,374,OK
017000,20251212,4000.0,3880.0,4151.6,3724.7999999999997,SL_ONLY,20251212091900,,20251212092000,380,OK
017510,20250411,6200.0,6014.0,6434.9800000000005,5773.44,NONE_AFTER_ENTRY,20250411090600,,,382,OK
018700,20250623,1510.0,1464.7,1567.229,1406.112,TP_ONLY,20250623090000,20250623090000,,376,OK
019170,20250523,12250.0,11882.5,12714.275000000001,11407.199999999999,SL_ONLY,20250523090300,,20250523090500,377,OK
019170,20250618,16150.0,15665.5,16762.085000000003,15038.88,NO_ENTRY,,,,371,OK
019170,20250619,20250.0,19642.5,21017.475000000002,18856.8,SL_ONLY,20250619090400,,20250619093100,379,OK
019175,20250523,18490.0,17935.3,19190.771,17217.888,SL_ONLY,20250523100000,,20250523103000,15,LOW_ROWS
019175,20250530,21000.0,20370.0,21795.9,19555.2,NO_ENTRY,,,,15,LOW_ROWS
019175,20250618,46450.0,45056.5,48210.455,43254.24,NO_ENTRY,,,,174,LOW_ROWS
019570,20250411,352.0,341.44,365.3408,327.7824,NO_ENTRY,,,,378,OK
019570,20250528,388.0,376.36,402.70520000000005,361.3056,TP_FIRST,20250528090200,20250528090200,20250528090400,377,OK
019990,20250526,10340.0,10029.8,10731.886,9628.607999999998,SL_ONLY,20250526090400,,20250526090400,378,OK
020120,20250414,3695.0,3584.15,3835.0405000000005,3440.784,NO_ENTRY,,,,382,OK
020150,20251111,35950.0,34871.5,37312.505000000005,33476.64,SL_ONLY,20251111090300,,20251111091000,380,OK
020760,20250630,1048.0,1016.56,1087.7192,975.8975999999999,TP_ONLY,20250630090100,20250630090300,,379,OK
020760,20250814,1077.0,1044.69,1117.8183000000001,1002.9024000000001,TP_ONLY,20250814142100,20250814153000,,377,OK
021040,20250428,1675.0,1624.75,1738.4825,1559.76,NO_ENTRY,,,,74,LOW_ROWS
021040,20250429,2175.0,2109.75,2257.4325000000003,2025.36,NO_ENTRY,,,,88,LOW_ROWS
021040,20250430,1900.0,1843.0,1972.0100000000002,1769.28,TP_ONLY,20250430092500,20250430110400,,366,OK
021040,20250509,2645.0,2565.65,2745.2455000000004,2463.024,SL_ONLY,20250509090600,,20250509090600,372,OK
021040,20251222,1756.0,1703.32,1822.5524,1635.1871999999998,SL_ONLY,20251222091000,,20251222091800,377,OK
021045,20250428,5140.0,4985.8,5334.8060000000005,4786.368,NO_ENTRY,,,,11,LOW_ROWS
