code,name,lastPrice,marketCode,marketName,mrkt_tp
181480,ACE 미국부동산리츠(합성 H),00083915,8,ETF,0
181710,NHN,00038900,0,거래소,0
182480,TIGER 미국MSCI리츠(합성 H),00013460,8,ETF,0
182490,TIGER 단기선진하이일드(합성 H),00013740,8,ETF,0
183190,아세아시멘트,00012830,0,거래소,0
183700,RISE 채권혼합,00090970,8,ETF,0
183710,RISE 주식혼합,00083660,8,ETF,0
185680,KODEX 미국S&P바이오(합성),00039015,8,ETF,0
185750,종근당,00092800,0,거래소,0
189400,PLUS 글로벌MSCI(합성 H),00024320,8,ETF,0
190620,ACE 단기통안채,00100745,8,ETF,0
192080,더블유게임즈,00054500,0,거래소,0
192090,TIGER 차이나CSI300,00012865,8,ETF,0
192400,쿠쿠홀딩스,00029950,0,거래소,0
192650,드림텍,00007940,0,거래소,0
192720,파워 고배당저변동성,00063055,8,ETF,0
192820,코스맥스,00189000,0,거래소,0
194370,제이에스코퍼레이션,00014100,0,거래소,0
195870,해성디에스,00064900,0,거래소,0
195920,TIGER 일본TOPIX(합성 H),00033250,8,ETF,0
195930,TIGER 유로스탁스50(합성 H),00022415,8,ETF,0
195970,PLUS 선진국MSCI(합성 H),00016305,8,ETF,0
195980,PLUS 신흥국MSCI(합성 H),00014460,8,ETF,0
196030,ACE 일본TOPIX레버리지(H),00081930,8,ETF,0
196230,RISE 단기통안채,00115560,8,ETF,0
200030,KODEX 미국S&P500산업재(합성),00042970,8,ETF,0
200250,KIWOOM 인도Nifty50(합성),00024680,8,ETF,0
200880,서연이화,00016600,0,거래소,0
203780,TIGER 미국나스닥바이오,00031270,8,ETF,0
204210,스타에스엠리츠,00002035,6,리츠,0
204320,HL만도,00063100,0,거래소,0
204450,KODEX 차이나H레버리지(H),00002665,8,ETF,0
204480,TIGER 차이나CSI300레버리지(합성),00028115,8,ETF,0
205720,ACE 일본TOPIX인버스(합성 H),00001589,8,ETF,0
207940,삼성바이오로직스,01766000,0,거래소,0
210540,디와이파워,00014750,0,거래소,0
210780,TIGER 코스피고배당,00027600,8,ETF,0
210980,SK디앤디,00012900,0,거래소,0
211560,TIGER 배당성장,00039965,8,ETF,0
211900,KODEX 코리아배당성장,00031845,8,ETF,0
213500,한솔제지,00008880,0,거래소,0
213610,KODEX 삼성그룹밸류,00019255,8,ETF,0
213630,PLUS 미국다우존스고배당주(합성 H),00020130,8,ETF,0
214320,이노션,00020000,0,거래소,0
214330,금호에이치티,00000509,0,거래소,0
214390,경보제약,00005820,0,거래소,0
214420,토니모리,00008450,0,거래소,0
214980,KODEX 단기채권PLUS,00114815,8,ETF,0
215620,HK S&P코리아로우볼,00019395,8,ETF,0
217590,티엠씨,00015750,0,거래소,0
217770,TIGER 원유선물인버스(H),00002380,8,ETF,0
217780,TIGER 차이나CSI300인버스(합성),00005405,8,ETF,0
218420,KODEX 미국S&P500에너지(합성),00018125,8,ETF,0
219390,RISE 미국S&P원유생산기업(합성 H),00006515,8,ETF,0
219480,KODEX 미국S&P500선물(H),00030225,8,ETF,0
219900,ACE 중국본토CSI300레버리지(합성),00004710,8,ETF,0
220130,SOL 차이나강소기업CSI500(합성 H),00007115,8,ETF,0
223190,KODEX 200가치저변동,00027400,8,ETF,0
225030,TIGER 미국S&P500선물인버스(H),00002475,8,ETF,0
225040,TIGER 미국S&P500레버리지(합성 H),00056895,8,ETF,0
225050,TIGER 유로스탁스레버리지(합성 H),00015845,8,ETF,0
225060,TIGER 이머징마켓MSCI레버리지(합성 H),00015385,8,ETF,0
225130,ACE 골드선물 레버리지(합성 H),00074085,8,ETF,0
225800,KIWOOM 미국달러선물레버리지,00015905,8,ETF,0
226320,잇츠한불,00011710,0,거래소,0
226380,ACE Fn성장소비주도주,00007170,8,ETF,0
226490,KODEX 코스피,00065060,8,ETF,0
226980,KODEX 200 중소형,00025920,8,ETF,0
227540,TIGER 200 헬스케어,00025230,8,ETF,0
227550,TIGER 200 산업재,00013955,8,ETF,0
227560,TIGER 200 생활소비재,00014715,8,ETF,0
227570,TIGER 우량가치,00020910,8,ETF,0
227830,PLUS 코스피,00065425,8,ETF,0
227840,현대코퍼레이션홀딩스,00013490,0,거래소,0
228790,TIGER 화장품,00003720,8,ETF,0
228800,TIGER 여행레저,00003665,8,ETF,0
228810,TIGER 미디어컨텐츠,00005805,8,ETF,0
228820,TIGER KTOP30,00017170,8,ETF,0
229200,KODEX 코스닥150,00021015,8,ETF,0
229640,LS에코에너지,00044800,0,거래소,0
229720,KODEX KTOP30,00034100,8,ETF,0
230480,KIWOOM 미국달러선물인버스2X,00004430,8,ETF,0
232080,TIGER 코스닥150,00021430,8,ETF,0
233160,TIGER 코스닥150 레버리지,00022560,8,ETF,0
233740,KODEX 코스닥150레버리지,00020305,8,ETF,0
234080,JW생명과학,00013690,0,거래소,0
234310,RISE V&S셀렉트밸류,00029270,8,ETF,0
236350,TIGER 인도니프티50레버리지(합성),00038130,8,ETF,0
237350,KODEX 코스피100,00075490,8,ETF,0
237370,KODEX 코리아배당성장채권혼합,00016395,8,ETF,0
237440,TIGER 경기방어채권혼합,00010775,8,ETF,0
238670,PLUS 스마트베타Quality채권혼합,00013535,8,ETF,0
238720,ACE 일본Nikkei225(H),00042310,8,ETF,0
239660,PLUS 우량회사채50,00120700,8,ETF,0
241180,TIGER 일본니케이225,00032150,8,ETF,0
241390,RISE V&S셀렉트밸류채권혼합,00016410,8,ETF,0
241560,두산밥캣,00064200,0,거래소,0
241590,화승엔터프라이즈,00005600,0,거래소,0
243880,TIGER 200IT레버리지,00255620,8,ETF,0
243890,TIGER 200에너지화학레버리지,00012300,8,ETF,0
244580,KODEX 바이오,00013935,8,ETF,0
244620,KODEX 모멘텀Plus,00020720,8,ETF,0
244660,KODEX 퀄리티Plus,00010605,8,ETF,0
244670,KODEX 밸류Plus,00012920,8,ETF,0
244920,에이플러스에셋,00014430,0,거래소,0
245340,TIGER 미국다우존스30,00034270,8,ETF,0
245350,TIGER 유로스탁스배당30,00019075,8,ETF,0
245360,TIGER 차이나HSCEI,00013320,8,ETF,0
245710,ACE 베트남VN30(합성),00031605,8,ETF,0
248070,솔루엠,00018900,0,거래소,0
248170,샘표식품,00029500,0,거래소,0
